epoch,train_loss,test_loss
76,3.6565066268449145,3.874441146850586
77,3.656995076360479,3.8762052953243256
78,3.657941743000738,3.8755098581314087
79,3.6569206328280193,3.8716796338558197
80,3.656367191119489,3.863175332546234
81,3.6551362761556465,3.8594414591789246
82,3.656954055655994,3.8602374494075775
83,3.817206394443634,4.104969799518585
84,3.808778412052309,4.062318325042725
85,3.8117618494704844,4.026213526725769
86,3.8083533168093227,4.0475815534591675
87,3.802820476641787,3.9971705973148346
88,3.8009717428862158,4.024787425994873
89,3.711169878302861,4.029439628124237
90,3.6689879818003317,4.001011878252029
91,3.6536694879470857,3.892924576997757
92,3.6333244873770774,3.9135968685150146
93,3.6182802145415023,3.9295319616794586
94,3.6059735680439835,3.9306055307388306
95,3.5849420327875916,3.886591076850891
96,3.5798286618962725,3.865698128938675
97,3.568006085434448,3.825406640768051
98,3.555785105935038,3.920377552509308
